=== Market Cap Auto-Sell Monitor ===

Sell trigger: $6000 market cap
Monitoring 10 tokens:

  SEEKBOT (wallet-1): 9T95V7S1y7L8...
  AVAULT (wallet-2): APXYEg1wQheu...
  NSWAP (wallet-3): 7PV9EpZXivde...
  PCHAIN (wallet-4): D8u7g47FCPtM...
  SEEDG (wallet-5): 8k51Q6gvA8nU...
  SKNET (wallet-6): FYVK2YQrXT47...
  MDAO (wallet-7): GFgbDMJmMmrK...
  TRELAY (wallet-8): AemCtvSpewGh...
  CSIGN (wallet-9): kynRpxt3ASUk...
  SWARM (wallet-10): F3kXwe6eF8hS...

Starting monitor (polling every 15s + WebSocket)...

WebSocket connected — subscribing to token trades...
  [10:12:44 AM] MDAO: $5375 mcap (target: $6000)
  [10:12:46 AM] TRELAY: $5270 mcap (target: $6000)
  [10:12:48 AM] CSIGN: $5422 mcap (target: $6000)
  [10:12:50 AM] SWARM: $5287 mcap (target: $6000)
  [10:13:07 AM] SEEKBOT: $5253 mcap (target: $6000)
  [10:13:08 AM] AVAULT: $5229 mcap (target: $6000)
  [10:13:10 AM] NSWAP: $5232 mcap (target: $6000)
  [10:13:12 AM] PCHAIN: $5218 mcap (target: $6000)
  [10:13:14 AM] SEEDG: $5259 mcap (target: $6000)
  [10:13:15 AM] SKNET: $5224 mcap (target: $6000)
  [10:13:17 AM] MDAO: $5387 mcap (target: $6000)
  [10:13:19 AM] TRELAY: $5281 mcap (target: $6000)
  [10:13:21 AM] CSIGN: $5434 mcap (target: $6000)
